,,"Changes to some project deliverables have been documented in the project management plan. These changes, and other project information, have been distributed according to the communications management plan. One stakeholder expressed surprise to the project manager upon hearing of a documented change to a project deliverable. All stakeholders received the communication containing notification of the change. What should the project manager do?",,Communication,Scenario,Review the communications management plan and make revisions if necessary.,Address the situation in the next steering committee meeting so others do not miss published changes.,Determine why the stakeholder did not receive the information and let him know when it was published.,Ask the functional manager why the stakeholder did not understand his responsibility.,,,"The question states that all stakeholders received the information, so the issue is not that this stakeholder did not receive it. The problem presented here illustrates that there is something missing in the communications management plan. The best answer is to review the communications management plan in order to prevent future problems and find any instances of similar problems.",projectmanagementquestion.wordpress.com
,,A project manager wants to more extensively involve the stakeholders on the project. Which of the following would be the BEST way to accomplish this?,,Communication,Scenario,Have the stakeholders periodically review the list of project requirements.,Invite the stakeholders to attend project status meetings.,Send status report to the stakeholders.,Update the stakeholders on the status of all project changes.,,,"It seems like all of these are good ideas, but having the stakeholders review the list of project requirements helps discover errors and changes, and could therefore be considered the best choice.",projectmanagementquestion.wordpress.com
,,"A project manager overhears a conversation between two stakeholders who are discussing how unhappy they are with the impacts of the project on their own departments. Stakeholder A asks if the project is on time, and stakeholder B replies that the SPI is 1.05. Stakeholder A asks if the project manager for the project knows of stakeholder B’s concern. Stakeholder B responds that he is not sure. What is the BEST thing for the project manager to do?",,Communication,Scenario,Arrange a meeting with both stakeholders to allow them to voice any concerns they may have.,Make sure the stakeholders see that the project manager overheard. Then ask them to direct any questions in writing to the project manager.,Make a presentation to all the stakeholders regarding the status of the project.,Send both stakeholders a copy of the issue log and ask for additional comments.,,,"This is another question with more than one right answer. Would asking for something in writing be the best way to communicate? In this particular situation, asking for the concern to be in writing might alienate the stakeholders. The issue log is where the issue should be listed, but the situation does not say if the project manager knows what the stakeholders’ concern is. Therefore, using the issue log cannot be the best choice. Why not make a presentation to all the stakeholders regarding the status of the project? The project manager already knows stakeholders A and B have the concern, not all the stakeholders. This problem would likely require informal verbal communication to discover the real problem. Arranging a meeting with the concerned stakeholders is therefore the best choice.",projectmanagementquestion.wordpress.com
,,Extensive use of ______ communication is most likely to aid in solving complex problems.,,Communication,Tool/Technique,Written,Formal,Nonverbal,Verbal,,,"Written communication allows your words to be documented, and they will go to everyone in the same form. When there are complex problems, you want everyone to receive the same information.",projectmanagementquestion.wordpress.com
,,You have just been assigned as project manager for a large manufacturing project. This one-year project is about halfway done. It involves 5 different sellers and 20 members of your company on the project team. You want to quickly review where the project now stands. Which of the following reports would be the MOST helpful in finding such information?,,Communication,Tool/Technique,Progress,Forecast,Communications,Work status,,,"The key word is quickly. The status report is too detailed for a quick look. The forecast report only looks into the future. The progress report summarizes project status, and would be the most helpful for a quick review.",projectmanagementquestion.wordpress.com
,,"If a project manager wants to report on the actual project results vs. planned results, she should use a:",,Communication,Tool/Technique,Variance report.,Trend report.,Forecasting report.,Status report.,,,This situation describes the need to “compare.” A trend report shows performance over time. A forecasting report looks only to the future. A status report is generally static (relating to a moment in time). The only choice that compares project results is a variance analysis.,projectmanagementquestion.wordpress.com
,,The MOST likely result of communication blockers is that:,,Communication,Tool/Technique,Conflict occurs.,Senior management is displeased.,The project is delayed.,The trust level is enhanced.,,,The major result of communication blockers and miscommunication as a whole is conflict.,projectmanagementquestion.wordpress.com
,,"When a project manager is engaged in negotiations, nonverbal communication skills are of:",,Communication,Tool/Technique,Major importance.,Importance only when cost and schedule objectives are involved.,Importance only to ensure he wins the negotiation.,Little importance.,,,"Nonverbal communication carries 55 percent of the message you send. With this much at stake, nonverbal communication is of major importance.",projectmanagementquestion.wordpress.com
,,"A project manager has a project team consisting of people in four countries. The project is very important to the company, and the project manager is concerned about its success. The length of the project schedule is acceptable. What type of communication should he use?",,Communication,Tool/Technique,Formal written communication,Formal verbal communication,Informal written communication,Informal verbal communication,,,"Because of the differences in culture and the distance between team members, formal written communication is needed.",projectmanagementquestion.wordpress.com
,,The project status report is an example of which form of communication?,,Communication,Tool/Technique,Formal written communication,Formal verbal communication,Informal written communication,Informal verbal communication,,,"The project status needs to be known by many people. Therefore, it is best to present this information n in writing so that it can be transmitted to many people at once. It is also formal in that it is an official report of the project. Therefore, formal written communication is the best answer.",projectmanagementquestion.wordpress.com
,,A project manager has a problem with a team members performance. What is BEST form of communication for addressing this problem?,,Communication,Tool/Technique,Informal verbal communication,Formal written communication,Formal verbal communication,Informal written communication,,,"The best choice is informal verbal communication. This does not mean you do not keep records of the problem, but it is best to start this discussion informally. If informal communication does not solve the problem, formal written communication is the next choice.",projectmanagementquestion.wordpress.com
,,Communications under a contract should tend toward:,,Communication,Tool/Technique,Formal written communication.,Formal verbal communication.,Informal written communication.,Informal verbal communication.,,,"When we talk about contracts, everything we do is more formal than in other project activities. Records are also important in procurement, thus the need for written communication.",projectmanagementquestion.wordpress.com
,,Communications are often enhanced when the sender ______ the receiver.,,Communication,Tool/Technique,Shows concern for the perspective of,Speaks up to,Uses gestures when speaking to,Speaks slowly to,,,Understanding the receiver’s perspective allows the sender to direct the communication to meet the receiver’s needs.,projectmanagementquestion.wordpress.com
,,The work breakdown structure can be an effective aid for communication in which setting(s)?,,Communication,Tool/Technique,Internal and external to the project,Internal within the project team,Internal within the organization,External with the customer,,,"The work breakdown structure can be used for communication vertically and horizontally within the organization, as well as outside the project.",projectmanagementquestion.wordpress.com
,,The purpose of status meetings is to:,,Communication,Tool/Technique,Exchange information about the project.,Have team members report on what they are doing.,Issue work authorizations.,Confirm the accuracy of the costs submitted by the team.,,,Team members’ reporting on what they are doing may best be done outside of meetings. The main purpose of status meetings is to exchange project information.,projectmanagementquestion.wordpress.com
,,"Two people are arguing about what needs to be done to complete a work package. If the project manager wants to know what is going on, she should pay MOST attention to:",,Communication,Tool/Technique,"The pitch and tone of the voices, and physical mannerisms.",What is being said and when.,"What is being said, who is saying it, and the time of day.",Physical mannerisms and what is being said.,,,"Remember that nonverbal communication represents 55 percent of all communication. The choice including paralingual communication (pitch and tone), as well as physical mannerisms, is the best choice.",projectmanagementquestion.wordpress.com
,,A team member is visiting the manufacturing plant of one of the suppliers. Which of the following is the MOST important thing to be done in any telephone calls the project manager might make to the team member?,,Communication,Tool/Technique,Ask the team member to repeat back what the project manager says.,Review the list of contact information for all stakeholders.,Ask the team member to look for change requests.,Review the upcoming meeting schedule.,,,"Questions like this drive people crazy. There are many choices that are reasonably correct. Look for the most immediate need. Here, the team member is in a manufacturing environment. That means communications will most likely be blocked by noise. It is best for the project manager to ask the team member to repeat back what he says, to ensure the team member correctly heard what the project manager communicated.",projectmanagementquestion.wordpress.com
,,Formal written correspondence with the customer is required when:,,Communication,Tool/Technique,The customer requests additional work not covered under contract.,The project has a schedule slippage that includes changes to the critical path.,The project has cost overruns.,Defects are detected.,,,"Everything we do is more formal in a procurement environment than in other project activities. Therefore, formal written communication is required when the customer requests work not covered under the contract.",projectmanagementquestion.wordpress.com
,,"The project status meeting is not going well. Many attendees are talking at the same time, there are people who are not participating, and many topics are being discussed at random. Which of the following rules for effective meetings is NOT being adhered to?",,Communication,Tool/Technique,Create and publish an agenda and a set of rules for controlling the meeting.,"Demonstrate courtesy and consideration of each other, and control who is allowed to speak.",Schedule meetings in advance.,"Have a purpose for the meeting, with the right people in attendance.",,,"Courtesy and consideration is not a “rule” for effective meetings. Since there is no indication that the meeting was not scheduled in advance or that there isn’t a purpose, these cannot be the best answers. “Discussed at random” implies no agenda. If an agenda is issued beforehand, people will follow the outline and should not need random discussions.",projectmanagementquestion.wordpress.com
,,"The requirements of many stakeholders were not approved for inclusion in your project. Therefore, you had a difficult time receiving formal approval of the project management plan. The stakeholders argued and held up the project while they held meeting after meeting about their requirements. The project was finally approved and work began six months ago. All of the following would be good preventive actions to implement EXCEPT:",,Communication,Tool/Technique,Hold meetings with the stakeholders to go over the work that will not be added to the project.,Keep a file of what requirements were not included in the project.,Make sure the change control process is not used as a vehicle to add the requirements back into the project.,Maintain an issue log.,,,"This issue should be over, but since there were so many meetings and arguments about the requirements being removed, it is unlikely the issue will be dropped by the stakeholders. However, as it has not come up again and the project was started six months ago, spending time in a meeting is excessive. The other choices are easier, have less impact on the project, and are therefore things that could be done.",projectmanagementquestion.wordpress.com
,,"If earned value (EV) = 350, actual cost (AC) = 400, planned value (PV) = 325, what is cost variance (CV)?",,Cost,Calculation,-50,350,-75,400,,,"The formula is CV = EV – AC. Therefore, CV = 350 – 400, or CV = -50.",projectmanagementquestion.wordpress.com
,,Which type of cost is team training?,,Cost,Tool/Technique,Direct,NPV,Indirect,Fixed,,,You are training the team on skills required for the project. The cost is directly related to the project and thus a direct cost.,projectmanagementquestion.wordpress.com
,,Which estimating method tends to be MOST costly for creating a project cost estimate?,,Cost,Tool/Technique,Bottom-up,Analogous,Parametric,50/50,,,"Because you need project details to estimate this way, the effort expended will be greater with bottom-up estimating.",projectmanagementquestion.wordpress.com
,,A rough order of magnitude estimate is made during which project management process group?,,Cost,Process,Initiating,Planning,Closing,Executing,,,"This estimate has a wide range. It is done during project initiating, when very little is known about the project.",projectmanagementquestion.wordpress.com
,,Project setup costs are an example of:,,Cost,Tool/Technique,Fixed costs.,Variable costs.,Overhead costs.,Opportunity costs.,,,"Setup costs do not change as production on the project changes. Therefore, they are fixed costs.",projectmanagementquestion.wordpress.com
,,One common way to compute estimate at completion (EAC) is to take the budget at completion (BAC) and:,,Cost,Tool/Technique,Divide by CPI.,Divide by SPI.,Multiply by SPI.,Multiply by CPI.,,,"This question is asking for the formula for EAC, which is BAC/CPI0. You have to remember the formula to get the answer correct.",projectmanagementquestion.wordpress.com
,,A cost baseline is an output of which cost management process?,,Cost,Process,Determine Budget,Estimate Activity Resources,Estimate Costs,Control Costs,,,A cost baseline is an output of the Determine Budget process.,projectmanagementquestion.wordpress.com
,,The project manager is allocating overall cost estimates to individual activities to establish a baseline for measuring project performance. What process is this?,,Cost,Process,Determine Budget,Cost Management,Estimate Costs,Control Costs,,,"Cost Management is too general. The estimates are already created in this situation, so the answer is not Estimate Costs. The answer is not Control Costs, because the baseline has not yet been created. The work described is the Determine Budget process.",projectmanagementquestion.wordpress.com
,,Which of the following represents the estimated value of the work actually accomplished?,,Cost,Tool/Technique,Earned value (EV),Planned value (PV),Actual cost (AC),Cost variance (CV),,,"It can be confusing to differentiate earned value terms from each other. The estimated value of the work actually completed is the definition of EV, or earned value.",projectmanagementquestion.wordpress.com
,,Which of the following is an example of a parametric estimate?,,Cost,Tool/Technique,Dollars per module,Learning bend,Bottom-up,CPM,,,Parametric estimates use a mathematical model to predict project cost or time.,projectmanagementquestion.wordpress.com
,,Earned value measurement is an example of:,,Cost,Tool/Technique,Performance reporting.,Planning control.,Ishikawa diagrams.,Integrating the project components into a whole.,,,"Earned value measurement is a great reporting tool. With it, you can show where you stand on budget and schedules, as well as provide forecasts for the rest of the project.",projectmanagementquestion.wordpress.com
,,"A new store development project requires the purchase of various equipment, machinery, and furniture. The department responsible for the development recently centralized its external purchasing process and standardized its new order system. In which document can these new procedures be found?",,Cost,Tool/Technique,Organizational policies,Project scope statement,WBS,Staffing management plan,,,"Procedures for the rental and purchase of supplies and equipment are found in the organizational policies, part of organizational process assets.",projectmanagementquestion.wordpress.com
,,Which of the following is NOT needed in order to come up with a project estimate?,,Cost,Tool/Technique,A change control system,A WBS,A network diagram,Risks,,,"A change control system is not required to obtain estimates, but without the other three choices, you cannot develop the estimates. You need the WBS to define the activities, the network diagram to see the dependencies, and the risks to determine contingencies. NOTE: These are high-level risks, not the detailed risks we identify later in project planning.",projectmanagementquestion.wordpress.com
,,The difference between the cost baseline and the cost budget can be BEST described as:,,Cost,Tool/Technique,The management reserves.,The contingency reserves.,The project cost estimate.,The cost account.,,,"Cost accounts are included in the project cost estimate, and the contingency reserves are added to that to come up with the cost baseline. Thereafter, the management reserves are added to come up with the cost budget. The management reserves make up the difference between the cost baseline and the cost budget.",projectmanagementquestion.wordpress.com
,,During which project management process group are budget forecasts created?,,Cost,Process,Monitoring and controlling,Planning,Initiating,Executing,,,"Budget forecasts are an output of Control Costs, which is part of monitoring and controlling.",projectmanagementquestion.wordpress.com
,,You are having difficulty estimating the cost of a project. Which of the following BEST describes the most probable cause of your difficulty?,,Cost,Scenario,Inadequate scope definition,Unavailability of desired resources,Lack of historical records from previous projects,Lack of company processes,,,"Although all choices could cause difficulty, only inadequate scope definition makes estimating impossible.",projectmanagementquestion.wordpress.com
,,Monitoring cost expended to date in order to detect variances from the plan occurs during:,,Cost,Tool/Technique,Project performance reviews.,The creation of the cost change management plan.,Recommending corrective actions.,Updating the cost baseline.,,,"The correct choice is project performance reviews. Recommending corrective actions and possible updates to the cost baseline result from project performance reviews; they are not concurrent with them. Monitoring costs is part of change control, but not part of creating the change control system.",projectmanagementquestion.wordpress.com
,,A project manager needs to analyze the project costs to find ways to decrease costs. It would be BEST if the project manager looks at:,,Cost,Tool/Technique,Direct costs and variable costs.,Variable costs and fixed costs.,Fixed costs and indirect costs.,Indirect costs and direct costs.,,,"Direct costs are directly attributable to the project, and variable costs are costs that vary with the amount of work accomplished. It is best to look at decreasing these costs on the project.",projectmanagementquestion.wordpress.com
,,Analogous estimating:,,Cost,Tool/Technique,Uses top-down estimating techniques.,Uses bottom-up estimating techniques.,Is used most frequently during project executing.,Calculates estimates using actual detailed historical costs.,,,"Analogous estimating is used most frequently during project planning, not project executing. Parametric estimating involves calculations based on historical records. Analogous estimating uses top-down estimating techniques.",projectmanagementquestion.wordpress.com
,,Value analysis is performed to get:,,Cost,Tool/Technique,A less costly way of doing the same work.,More value from the cost analysis.,Management to buy into the project.,The team to buy into the project.,,,Notice that you need to know the definition of value analysis to answer this question. Also notice that the other choices could be considered correct by someone who does not know the definition. Value analysis seeks to decrease cost while maintaining the same scope.,projectmanagementquestion.wordpress.com
,,"Although the stakeholders thought there was enough money in the budget, halfway through the project the cost performance index (CPI) is 0.7. To determine the root cause, several stakeholders audit the project and discover the project cost budget was estimated analogously. Although the activity estimates add up to the project estimate, the stakeholders think something was missing in how the estimate was completed. Which of the following describes what was missing?",,Cost,Scenario,Bottom-up estimating should have been used.,Estimated costs should be used to measure CPI.,"SPI should be used, not CPI.",Past history was not taken into account.,,,"Actual costs are used to measure CPI, and there is no reason to use SPI in this situation. Using past history is another way of saying “analogous.” The best way to estimate is bottom-up. Such estimating would have improved the overall quality of the estimate.",projectmanagementquestion.wordpress.com
,,Your cost forecast shows that you will have a cost overrun at the end of the project. Which of the following should you do?,,Cost,Scenario,Eliminate risks in estimates and re-estimate.,Meet with the sponsor to find out what work can be done sooner.,Cut quality.,Decrease scope.,,,Look for the choice that would have the least negative impact in this situation. You would not need to meet with the sponsor to determine which work can be done sooner. Cutting quality and decreasing scope always have negative effects. The choice with the least negative impact is to eliminate risks in estimates and re-estimate.,projectmanagementquestion.wordpress.com
,,"You provide a project cost estimate for the project to the project sponsor. He is unhappy with the estimate, because he thinks the price should be lower. He asks you to cut 15 percent off the project estimate. What should you do?",,Cost,Scenario,Inform the sponsor of the activities to be cut.,Start the project and constantly look for cost savings.,Tell all the team members to cut 15 percent from their estimates.,Add additional resources with low hourly rates.,,,"This question is full of choices that are not correct project management actions. To answer the question, you must first realize that it is never appropriate for a project manager to just cut estimates across the board. You should have created a project estimate based on realistic work package estimates that do not include padding. Then, if costs must be decreased, you can look to cut quality, decrease risk, cut scope, or use cheaper resources (and at the same time closely monitor the impact of changes on the project schedule). One of the worst things a project manager can do is to start a project knowing that the time or cost for the project is unrealistic. Did you notice the choice of adding additional resources? Even though they have low hourly rates, that would add cost. Evaluating, looking for alternatives, and then reporting the impact of the cost cutting to the sponsor is the best action to take.",projectmanagementquestion.wordpress.com
,,Estimate at completion (EAC) is a periodic evaluation of:,,Cost,Tool/Technique,The anticipated total cost at project completion.,The cost of work completed.,The value of work performed.,What it will cost to finish the project.,,,"When you look at earned value, many of the terms have similar definitions. This could get you into trouble. EAC means the estimate at completion. What it will cost to finish the project is the definition of ETC, or estimate to complete.",projectmanagementquestion.wordpress.com
,,A cost management plan contains a description of:,,Cost,Process,The WBS level at which earned value will be calculated.,The project costs.,How resources are allocated.,The budgets and how they were calculated.,,,The exam will ask you what the tools of project management contain in order to test whether you really understand them. The cost management plan identifies the WBS level at which earned value will be calculated.,projectmanagementquestion.wordpress.com
,,The cost contingency reserve should be:,,Cost,Tool/Technique,Added to the base costs of the project to account for risks.,Hidden to prevent management from disallowing the reserve.,Added to each activity to provide the customer with a shorter critical path.,Maintained by management to cover cost overruns.,,,"Hiding the reserve is an inappropriate action. Adding cost to each activity will not shorten the critical path, and thus is an incorrect statement. Management reserves, not contingency reserves, are maintained by management to cover cost overruns. During the risk management process, you determine appropriate contingency reserves to cover the cost of identified risks.",projectmanagementquestion.wordpress.com
,,A cost performance index (CPI) of 0.89 means:,,Cost,Tool/Technique,The project is getting 89 cents out of every dollar invested.,"At this time, we expect the total project to cost 89 percent more than planned.","When the project is completed, we will have spent 89 percent more than planned.",The project is progressing at 89 percent of the rate planned.,,,"The CPI is less than one, so the situation is bad. The project is only getting 89 cents out of every dollar invested.",projectmanagementquestion.wordpress.com
,,Identified risks are:,,Cost,Process,Both an input to and an output of the Estimate Costs process.,An input to the Estimate Costs process.,An output of the Estimate Costs process.,Not related to the Estimate Costs process.,,,Identified risks are both an input to and an output of the Estimate Costs process.,projectmanagementquestion.wordpress.com
,,Your project has a medium amount of risk and is not very well defined. The sponsor hands you a project charter and asks you to confirm that the project can be completed within the project cost budget. What is the BEST method to handle this?,,Cost,Scenario,Build an estimate in the form of a range of possible results.,Ask the team members to help estimate the cost based on the project charter.,"Based on the information you have, calculate a parametric estimate.",Provide an analogous estimate based on past history.,,,"With such limited information, it is best to estimate in a range. The range can be narrowed as planning progresses and risks are addressed.",projectmanagementquestion.wordpress.com
,,Cost risk means:,,Cost,Tool/Technique,There is a risk that project costs could go higher than planned.,There are risks that will cost the project money.,The project is too risky from a cost perspective.,There is a risk that the cost of the project will be lower than planned.,,,"While it is true that risk will cost the project money, that is not the definition of cost risk. Stating that the project is too risky from a cost perspective assumes that the risk is too great to do the project. Cost risk is the risk that project costs could go higher than planned.",projectmanagementquestion.wordpress.com
,,A schedule performance index (SPI) of 0.76 means:,,Cost,Tool/Technique,You are progressing at 76 percent of the rate originally planned.,You are over budget.,You are ahead of schedule.,You are progressing at 24 percent of the rate originally planned.,,,"Earned value questions ask for a calculation or an interpretation of the results. In this case, the project is progressing at 76 percent of the rate planned.",projectmanagementquestion.wordpress.com
,,"Early in the life of your project, you are having a discussion with the sponsor about what estimating techniques should be used. You want a form of expert judgment, but the sponsor argues for analogous estimating. It would be BEST to:",,Cost,Scenario,"Agree to analogous estimating, as it is a form of expert judgment.",Suggest life cycle costing as a compromise.,Determine why the sponsor wants such an accurate estimate.,Try to convince the sponsor to allow expert judgment because it is typically more accurate.,,,"This is a tricky question. Determining why the sponsor wants such an accurate estimate sounds like a good idea at first. However, analogous estimates are less accurate than other forms of estimating, as they are prepared with a limited amount of detailed information. Reading every word of this choice helps eliminate it. In order to pick the best answer, you need to realize that analogous estimating is a form of expert judgment.",projectmanagementquestion.wordpress.com
,,The main focus of life cycle costing is to:,,Cost,Tool/Technique,Consider operations and maintenance costs in making project decisions.,Estimate installation costs.,Estimate the cost of operations and maintenance.,Consider installation costs when planning the project costs.,,,Life cycle costing looks at operations and maintenance costs and balances them with the project costs to try to reduce the cost across the entire life of the project.,projectmanagementquestion.wordpress.com
,,The customer responsible for overseeing your project asks you to provide a written cost estimate that is 30 percent higher than your estimate of the project’s cost. He explains that the budgeting process requires managers to estimate pessimistically to ensure enough money is allocated for projects. What is the BEST way to handle this?,,Cost,Scenario,Ask for information on risks that would cause your estimate to be too low.,Add the 30 percent as a lump sum contingency fund to handle project risks.,Add the 30 percent to your cost estimate by spreading it evenly across all project activities.,Create one cost baseline for budget allocation and a second one for the actual project management plan.,,,"Presenting anything other than your original estimate (allocating more to the budget) is inaccurate and calls into question your competence and integrity as a project manager. The customer should list potential changes and risks related to your estimate. If the costs and risks are justified, you can increase the budget.",projectmanagementquestion.wordpress.com
,,"A manufacturing project has a schedule performance index (SPI) of 0.89 and a cost performance index (CPI) of 0.91. Generally, what is the BEST explanation for why this occurred?",,Cost,Scenario,A critical path activity took longer and needed more labor hours to complete.,The scope was changed.,A supplier went out of business and a new one needed to be found.,Additional equipment needed to be purchased.,,,"To answer this question, you must look for a choice that would take longer and cost more. Notice one of the choices says scope was changed, but it was not necessarily added to. If the change was to reduce the scope, it might also have reduced cost. Though it would take time to handle the issue of the need to find a new supplier, the impacted activity might not be on the critical path and thus might not affect time. Purchasing additional equipment definitely adds cost, but not necessarily time. A critical path activity taking longer and requiring more labor hours to complete would negatively affect both time and cost.",projectmanagementquestion.wordpress.com
